genome	domain	taxon_name
7000000385	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160319967"
7000000397	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159733294"
7000000401	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158802708"
7000000403	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159713063"
7000000407	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765034022"
7000000410	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763961826"
7000000417	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158742018"
7000000418	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158337416"
7000000425	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159207311"
7000000429	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 604812005"
7000000431	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159369152"
7000000433	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765640925"
7000000434	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763536994"
7000000441	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763435843"
7000000444	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763901136"
7000000455	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158499257"
7000000459	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158883629"
7000000460	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764487809"
7000000464	*Microbiome	"Human stool microbial communities from NIH, USA - visit number 3 of subject 159753524"
7000000475	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160704339"
7000000484	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764447348"
7000000486	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763982056"
7000000490	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159571453"
7000000492	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 861967750"
7000000498	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160502038"
7000000499	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764669880"
7000000509	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 338793263"
7000000515	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159227541"
7000000516	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763496533"
7000000521	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159005010"
7000000526	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765560005"
7000000531	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765701615"
7000000532	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159166850"
7000000538	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159510762"
7000000540	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 246515023"
7000000543	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158944319"
7000000546	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764892411"
7000000549	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159227541"
7000000559	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763820215"
7000000570	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764143897"
7000000579	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159551223"
7000000582	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764669880"
7000000585	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159753524 replicate 2"
7000000587	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159369152"
7000000609	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 765094712"
7000000624	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159571453"
7000000626	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764042746"
7000000627	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763820215"
7000000628	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764224817"
7000000630	*Microbiome	"Human stool microbial communities from NIH, USA - visit number 3 of subject 763536994"
7000000632	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763982056"
7000000633	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763577454"
7000000641	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160178356"
7000000646	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764325968"
7000000655	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160643649"
7000000659	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764002286"
7000000661	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159490532"
7000000669	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 370425937"
7000000684	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763597684"
7000000690	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 638754422"
7000000693	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158458797"
7000000695	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 686765762"
7000000712	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 370425937"
7000000715	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763961826"
7000000735	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763759525"
7000000736	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763678604"
7000000740	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763840445"
